ORGANIZATION_CODE,template_name,item_SEGMENT1,DESCRIPTION,PRIMARY_UOM_CODE,PURCHASING_ITEM_FLAG,PURCHASING_ENABLED_FLAG,PROCESS_FLAG
SIO,@Product Family,113373,Baby Cheramy Lotion - Moisturising Milk 50ml,ECH,Y,Y,N
SIO,@Product Family,171748,Baby Cheramy Lotion Regular 100ml,ECH,Y,Y,N
SIO,@Product Family,171747,Baby Cheramy Lotion Regular 50ml,ECH,Y,Y,N
SIO,@Product Family,171738,Baby Cheramy Moisturising Soap 100g,ECH,Y,Y,N
SIO,@Product Family,113428,Baby Cheramy Nappy  Wash Powder -400g,ECH,Y,Y,N
SIO,@Product Family,115722,Baby Cheramy Nappy Rash Cream -100ml,ECH,Y,Y,N
SIO,@Product Family,113439,Baby Cheramy Nappy Wash Powder -1kg,ECH,Y,Y,N
SIO,@Product Family,113210,Baby Cheramy Prickly Heat Talc -100g,ECH,Y,Y,N
SIO,@Product Family,113302,Baby Cheramy Shampoo -100ml,ECH,Y,Y,N
SIO,@Product Family,171462,Baby Cheramy Soap - Floral Moisturising 75g,ECH,Y,Y,N
SIO,@Product Family,171463,Baby Cheramy Soap - FloralMoisturising (Eco Pack) (75gx5) (Rs.15.00 Off),ECH,Y,Y,N
SIO,@Product Family,113106,Baby Cheramy Soap -75g,ECH,Y,Y,N
SIO,@Product Family,113213,Baby Cheramy Talc - Floral 100g,ECH,Y,Y,N
SIO,@Product Family,113212,Baby Cheramy Talc - Floral 200g,ECH,Y,Y,N
SIO,@Product Family,113211,Baby Cheramy Talc - Regular -400g,ECH,Y,Y,N
SIO,@Product Family,113204,Baby Cheramy Talc -200g,ECH,Y,Y,N
SIO,@Product Family,172748,Chandi Panda Herbal Soap - 90g,ECH,Y,Y,N
SIO,@Product Family,114414,Clogard Chooty Tooth Brush,ECH,Y,Y,N
SIO,@Product Family,172526,Cutee Baby Diapers - Medium,ECH,Y,Y,N
SIO,@Product Family,172525,Cutee Baby Diapers - Small,ECH,Y,Y,N
SIO,@Product Family,114404,Denta Toothbrush - Kid -EA,ECH,Y,Y,N
SIO,@Product Family,172694,Ezy Pants 18 pcs - L,ECH,Y,Y,N
SIO,@Product Family,172693,Ezy Pants 18 pcs - M,ECH,Y,Y,N
SIO,@Product Family,172692,Ezy Pants 18 pcs - S,ECH,Y,Y,N
SIO,@Product Family,172695,Ezy Pants 18 pcs - XL,ECH,Y,Y,N
SIO,@Product Family,172690,Ezy Pants 8 pcs - L,ECH,Y,Y,N
SIO,@Product Family,172689,Ezy Pants 8 pcs - M,ECH,Y,Y,N
SIO,@Product Family,172691,Ezy Pants 8 pcs - XL,ECH,Y,Y,N
SIO,@Product Family,113431,Feather - Cotton Buds (Caned) -120ml,ECH,Y,Y,N
SIO,@Product Family,115735,Johnson Baby Gift Pack-Medium,ECH,Y,Y,N
SIO,@Product Family,115730,Johnson Baby Top to Toe -100ml,ECH,Y,Y,N
SIO,@Product Family,115785,Johnsons Baby Bath Peach Fresh 200ml,ECH,Y,Y,N
SIO,@Product Family,115784,Johnsons Baby Bath Regular 200ml,ECH,Y,Y,N
SIO,@Product Family,113281,Johnsons Baby Cologne - Bounce 125ml,ECH,Y,Y,N
SIO,@Product Family,115728,Johnsons Baby Cologne - Forever Mine -125ml,ECH,Y,Y,N
SIO,@Product Family,113270,Johnsons Baby Cologne - Heaven 125ml,ECH,Y,Y,N
SIO,@Product Family,113269,Johnsons Baby Cologne - Heaven 50ml,ECH,Y,Y,N
SIO,@Product Family,113272,Johnsons Baby Cologne - Morning Dew 125ml,ECH,Y,Y,N
SIO,@Product Family,113271,Johnsons Baby Cologne - Morning Dew 50ml,ECH,Y,Y,N
SIO,@Product Family,113274,Johnsons Baby Cologne - Powder Mist 125ml,ECH,Y,Y,N
SIO,@Product Family,113273,Johnsons Baby Cologne - Powder Mist 50ml,ECH,Y,Y,N
SIO,@Product Family,123597,Johnsons Baby Cream 100ml (20% Off),ECH,Y,Y,N
SIO,@Product Family,113379,Johnsons Baby Cream Upgrade 100g,ECH,Y,Y,N
SIO,@Product Family,113358,Johnsons Baby Cream Upgrade 30g,ECH,Y,Y,N
SIO,@Product Family,113378,Johnsons Baby Cream Upgrade 50g,ECH,Y,Y,N
SIO,@Product Family,171245,Johnsons Baby Cutie Soap 25g,ECH,Y,Y,N
SIO,@Product Family,119327,Johnsons Baby Essential Pack -EA,ECH,Y,Y,N
SIO,@Product Family,115734,Johnsons Baby Gift Pack-Large,ECH,Y,Y,N
SIO,@Product Family,115778,Johnsons Baby Hair Oil-Aloe Vera,ECH,Y,Y,N
SIO,@Product Family,115779,Johnsons Baby Hair Oil-Avecado 200ml,ECH,Y,Y,N
SIO,@Product Family,113411,Johnsons Baby Hair Oil-Avocado -100ml,ECH,Y,Y,N
SIO,@Product Family,113410,Johnsons Baby Hair Oil-Avocado -60ml,ECH,Y,Y,N
SIO,@Product Family,115786,Johnsons Baby Lotion-Aloe Vera & Vitamin E,ECH,Y,Y,N
SIO,@Product Family,115783,Johnsons Baby Milk Bath 200ml,ECH,Y,Y,N
SIO,@Product Family,113313,Johnsons Baby Milk Bath DT 100ml,ECH,Y,Y,N
SIO,@Product Family,113360,Johnsons Baby Milk Cream 100g,ECH,Y,Y,N
SIO,@Product Family,171244,Johnsons Baby Milk Cream 30g,ECH,Y,Y,N
SIO,@Product Family,113359,Johnsons Baby Milk Cream 50g,ECH,Y,Y,N
SIO,@Product Family,113366,Johnsons Baby Milk Lotion DT 100ml,ECH,Y,Y,N
